Producto,Medida,CASA DE LA CARNE CANGREJO,REY DE VIA ESPA•A,RIBA SMITH BELLA VISTA,RIBA SMITH TRANSISTMICA,REY EL DORADO,SUPER 99 CAMINO REAL,SUPER 99 EL DORADO,SUPER 99 TUMBA MUERTO,XTRA TUMBA MUERTO,EL MACHETAZO COSTA SUR,EL MACHETAZO METRO MALL,SUPER 99 LOS PUEBLOS,SUPER 99 PEDREGAL,SUPER 99 PLAZA TOCUMEN,XTRA LAS ACACIAS,XTRA LOS PUEBLOS,REY CHANIS,SUPER 99 CHANIS,SUPER 99 PORTOBELO,REY 12 DE OCTUBRE,SUPER 99 VISTA HERMOSA,CASA DE LA CARNE VIA PORRAS,REY CALLE 50,SUPER 99 SAN FRANCISCO,SUPER 99 V÷A PORRAS,EL FUERTE SAN MIGUELITO,EL MACHETAZO SAN MIGUELITO,REY BRISAS DEL GOLF,REY VILLA LUCRE,SUPER 99 BRISAS DEL GOLF,SUPER 99 LOS ANDES,SUPER 99 VILLA LUCRE,XTRA MARKET  VILLA LUCRE,XTRA OJO DE AGUA,XTRA PAN DE AZÈCAR,EL MACHETAZO CALIDONIA,EL MACHETAZO SANTA ANA,REY BOMBERO SANTA ANA,SUPER 99 LA CUCHILLA CALIDONIA,EL FUERTE VILLA ZAITA,REY MILLA 8,SUPER 99 LA CABIMA,EL FUERTE TOCUMEN,EL MACHETAZO NVO. TOCUMEN,EL MACHETAZO PUNTA DEL ESTE,REY LAS AMERICAS,SUPER 99 24 DE DICIEMBRE,SUPER 99 MA•ANITAS,SUPER 99 MEGA MALL,XTRA  24 DICIEMBRE,XTRA CHEPO,XTRA PACORA,MINISUPER CD,ABA EL CANGREJO/BELLA VISTA,FRUTER÷A  MIMI,MINI MARKET ONLY,ABT. JUAN CARLOS - BETHANIA,MINISUPER - JANET - BETHANIA,ABT. ELENA - BETHANIA,MINISUPER - ESTELA - BETHANIA,MINISUPER - EL PROGRESO - PARQ LEFEVRE,MINISUPER - EL CHEVERE - PAR. LEFEVRE,ABT. PANAMµ VIEJO - PAR. LEFEVRE,MINI SUPER MAGIC PAN,ABARROTERIA LOS AMIGOS,MINISUPER PUEBLO NUEVO,MINISUPER ROSITA,MINISUPER CHONSITO - PUEBLO NUEVO,MINISUPER FUENTE DE ORO - SAN FCO,MINISUPER ECLIPSE-SAN FCO.,M/S DALLYS - BOCA LA CAJA,MINISUPER PAN,ABT. LE‡N-SAN MIGUELITO,MINISUPER FLORECIENTE,ABT. DENIA-SAN MIGUELITO,MINISUPER - JIMMY LIAO,MINISUPER - EXCELENTE -JUAN D÷AZ,MINISUPER - JUAN D÷AZ,MINISUPER JULY ZHANG- JUAN D÷AZ,M/S SUSANA LUO JUAN DIAZ,MINISUPER PLAZA AMADOR,ABT EDITH- SANTA ANA,MINISUPER EXPRESO-CALIDONIA,MINISUPER ROY-CALIDONIA,MINISUPER EL MILENIO,M/S VILLA ZAITA,M/S OCêANO,ABARROTER÷A BERAKA,ABT - LA PAGODA,ABT. LA PAGODA NO. 2,M/S MULTI CARNES,,,,,
Sardina en Salsa de Tomate sin Picante *,155 Gramos,0.68,0.69,0.74,0.74,0.69,0.39,0.45,0.39,0.50,0.65,0.55,0.39,0.39,0.39,0.50,0.48,,0.42,0.42,0.69,0.47,0.68,0.69,0.39,0.39,0.43,0.55,0.68,0.65,0.42,0.49,0.39,0.50,0.43,0.49,0.55,0.55,0.75,0.49,0.52,0.65,0.74,0.43,0.49,0.65,,0.39,,0.72,0.37,0.45,0.37,0.85,,0.95,0.85,0.85,,0.95,0.55,0.85,0.75,0.85,0.75,0.80,0.80,0.75,0.80,0.85,0.80,,0.85,0.75,0.85,0.85,0.65,,0.50,0.75,0.85,0.85,0.65,0.50,0.85,0.49,0.80,0.55,0.75,,0.45,,,,,,
Tuna en Agua *,142 Gramos,,1.20,1.70,1.19,1.55,1.15,1.29,1.15,1.76,,1.59,1.15,1.59,1.15,1.15,1.05,,,1.15,1.55,1.15,1.15,1.29,1.20,1.20,1.56,1.45,1.65,,1.15,1.15,1.15,1.03,1.51,1.54,1.57,1.57,,1.15,,1.25,1.20,1.56,,1.45,1.25,1.20,1.20,0.99,1.19,1.47,1.57,,,1.85,,1.50,,1.85,1.65,,,,1.55,,1.65,,,,,,,1.35,,,,1.65,,,,,,1.65,1.75,1.50,1.25,1.35,1.25,1.15,1.15,1.55,,,,,
Jam¢n Cocido Empacado 4x4 *,1 Kilogramos,7.72,7.91,,,6.50,5.40,5.49,5.49,6.46,8.27,6.50,7.91,5.49,7.91,6.50,7.87,,7.91,7.91,7.91,7.91,7.72,7.91,7.87,7.87,5.34,8.27,7.91,7.91,,5.49,5.49,8.25,7.52,7.72,,8.27,6.81,5.49,,,,7.78,,,,,,,,7.78,7.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mortadela Nacional con Pimienta (empacado) *,1 Kilogramos,,,,8.40,,4.96,4.96,4.96,8.31,,8.38,4.96,8.36,,,8.33,,,,,8.36,,,,8.36,4.87,8.38,,,8.36,4.96,4.96,,8.07,8.05,,,,4.96,,,,6.37,,,,,,4.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salchichas Nac Empacadas tipo frankfurter *,1 Kilogramos,7.17,3.42,7.67,7.61,3.42,4.17,4.17,4.19,3.37,3.42,3.42,4.17,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,,3.42,,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.42,3.37,3.31,3.37,7.61,3.42,,3.42,7.61,,7.61,3.42,3.42,3.42,3.42,3.42,,3.42,3.42,3.37,3.42,,,8.49,,,7.17,,7.72,,,,,,,,,,,,,,,,7.17,4.41,,,,,,,,7.72,,,7.61,3.42,3.42,,,,,,
Arroz de Primera *,1 Kilogramos,0.88,,,0.88,,0.88,0.88,0.88,0.86,,,0.88,0.88,,0.86,0.85,0.88,0.88,0.88,,0.88,0.88,,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.86,0.86,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.87,0.86,0.86,0.84,,,0.88,,0.88,0.88,0.88,0.88,,,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,0.88,,,,,
Codito *,454 Gramos,0.91,0.85,0.95,0.88,0.58,0.79,0.79,0.79,0.76,0.75,0.75,0.79,0.79,0.79,0.77,0.76,0.85,0.79,0.79,0.58,0.79,0.89,0.62,0.79,0.79,0.82,0.75,0.58,0.58,0.79,0.73,0.79,0.74,0.77,0.60,0.82,0.82,0.85,0.79,0.82,0.58,0.79,0.83,0.58,0.58,0.62,0.79,0.79,0.79,0.54,0.75,0.54,1.00,1.00,0.95,1.00,1.00,0.95,0.95,0.95,0.90,,0.85,0.85,1.00,0.85,0.90,0.85,0.85,0.85,1.00,0.85,1.00,0.90,0.90,0.85,1.00,0.95,1.00,,0.85,0.90,0.85,0.95,0.85,,0.85,0.85,0.85,0.65,0.95,,,,,
Crema  de Ma°z *,300 Gramos,0.80,0.79,0.54,0.54,0.60,0.52,0.52,0.52,0.48,0.45,0.45,0.60,0.52,0.52,0.43,0.43,0.65,0.52,0.70,0.65,0.60,0.82,0.72,0.52,0.52,0.60,0.45,0.60,0.60,0.60,0.60,0.60,0.63,0.58,0.64,0.45,0.47,,0.60,,,0.70,0.69,0.45,0.70,0.65,0.71,,,0.43,,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.60,0.75,,,0.85,0.79,,,,,,
Hojuelas de Ma°z (corn flakes) cajeta *,300 Gramos,3.13,2.10,2.95,3.13,2.10,1.99,1.99,1.99,1.98,1.97,1.97,1.79,1.99,1.79,1.98,1.73,2.10,2.19,2.29,2.10,2.29,2.31,2.10,1.79,1.79,2.38,1.89,2.10,2.10,2.89,1.79,1.79,1.73,1.98,1.98,1.95,1.95,,1.99,3.15,3.05,3.08,,3.09,2.98,,,,,3.03,1.96,1.98,,,,,,2.95,,,,,,,,,,2.75,,,,,,,,2.45,,,,,,,,,3.95,3.95,,,,,,,,,,
Macarrones (espaguetti) Cal 3- 5 *,454 Gramos,0.83,0.80,0.95,0.85,0.65,0.63,0.65,0.63,0.61,0.75,0.58,0.63,0.63,0.63,0.61,0.60,0.80,0.63,0.63,0.65,0.63,0.81,0.62,0.63,0.63,0.56,0.75,0.65,0.65,0.63,0.63,0.63,0.61,0.54,0.58,0.58,0.75,0.58,0.63,0.46,0.65,,0.56,0.58,0.58,0.62,0.63,0.63,0.65,0.54,0.53,0.61,1.00,1.00,0.95,1.00,0.85,0.85,,0.85,0.90,0.85,0.85,0.85,0.85,0.85,0.90,0.85,0.75,0.85,0.75,0.85,0.85,0.85,0.85,0.85,0.85,0.85,0.90,,0.75,0.59,0.75,0.90,0.85,0.85,0.85,0.85,0.53,,0.95,,,,,
